codigo,grupo,descricao,umidade_pct,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_g,cinzas_g,calcio_mg,magnesio_mg,manganes_mg,fosforo_mg,ferro_mg,sodio_mg,potassio_mg,cobre_mg,zinco_mg,retinol_mcg,re_mcg,rae_mcg,tiamina_mg,riboflavina_mg,piridoxina_mg,niacina_mg,vitamina_c_mg
478,Bebidas (alcoólicas e não alcoólicas),"Coco, água de",94.25,21.5,90,0,0,,5.28,0.13,0.46,18.84,5.16,0.253,3.76,0,1.78,161.65,0,0,,,,0.005,0,0,0,2.41
479,Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo água tônica",92.01,30.8,128.8,0,0,,7.95,,0.04,1.08,0,0,0.15,0,8.29,1.51,0,0,,,,,,,,
480,Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo cola",91.28,33.5,140.2,0,0,,8.66,,0.06,1.37,0,0,16.68,0,7.12,0.91,0,0,,,,,,,,
481,Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo guaraná",89.96,38.7,161.9,0,0,,10,,0.04,1.41,0,0,0,0,9.01,1.38,0,0,,,,,,,,
482,Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo laranja",88.17,45.6,190.9,0,0,,11.79,,0.04,2.34,1.21,0,1.47,0,9.27,15.5,0,0,,,,,,,,
483,Bebidas (alcoólicas e não alcoólicas),"Refrigerante, tipo limão",89.69,39.7,166.2,0,0,,10.26,,0.05,1.75,0.53,0,0,0,8.8,4.27,0,0,,,,,,,,
484,Ovos e derivados,"Omelete, de queijo",60.49,268,1121.3,15.57,22.01,383.83,0.44,,1.49,165.73,14.27,0.026,313.61,1.37,216.05,126.93,0.032,1.36,58.75,,,0.03,0.243,0,0,0
485,Ovos e derivados,"Ovo, de codorna, inteiro, cru",71.67,176.9,740.1,13.69,12.68,568,0.77,,1.19,78.73,11.06,0,279.44,3.35,128.99,78.73,0.035,2.05,305.17,,,0.11,0.123,0,0.967,
486,Ovos e derivados,"Ovo, de galinha, clara, cozida/10minutos",85.23,59.4,248.7,13.45,0.09,,0,,0.67,6.23,11.01,0,15.43,0.08,180.54,145.87,0.029,0,,,,0,0.08,0,0,
487,Ovos e derivados,"Ovo, de galinha, gema, cozida/10minutos",50.02,352.7,1475.6,15.9,30.78,1272.37,1.56,,1.74,114.43,9.37,0.059,385.75,2.92,44.91,87.38,0,2.87,148.48,,,0.18,0.217,0,0,
488,Ovos e derivados,"Ovo, de galinha, inteiro, cozido/10minutos",75.77,145.7,609.6,13.29,9.48,396.57,0.61,,0.85,49.22,11.24,0.024,184.19,1.52,145.9,138.9,0.04,1.24,32.44,,,0.077,0.3,0,0,
489,Ovos e derivados,"Ovo, de galinha, inteiro, cru",75.6,143.1,598.8,13.03,8.9,355.94,1.64,,0.83,42.02,12.66,0,164.35,1.56,167.91,150,0.06,1.08,78.83,,,0.07,0.58,0,0.75,
490,Ovos e derivados,"Ovo, de galinha, inteiro, frito",63.5,240.2,1004.9,15.62,18.59,516.26,1.19,,1.1,72.89,16.25,0.034,422.41,2.1,166.11,184.01,0.039,1.46,93.89,,,0.063,0.317,0,0,0
491,Produtos açucarados,"Achocolatado, pó",1.1,401,1677.9,4.2,2.17,0,91.18,3.89,1.35,44.4,76.74,0.551,199.97,5.36,64.79,496.45,0.56,1.04,795.85,,,1.38,1.02,1.523,4.987,0
492,Produtos açucarados,"Açúcar, cristal",0.05,386.8,1619.2,0.32,0,,99.61,,0,7.59,1.01,,0,0.16,0,2.56,0,0,,,,,,,,
493,Produtos açucarados,"Açúcar, mascavo",3.32,368.6,1542,0.76,0.09,,94.45,,1.38,126.53,79.95,2.026,38.16,8.3,25.2,521.63,0.171,0.48,,,,0,0.03,0,0,0
494,Produtos açucarados,"Açúcar, refinado",0.12,386.6,1617.4,0.32,0,,99.54,,0,3.5,0.55,,0,0.11,12.16,6.35,0,0,,,,,,,,
495,Produtos açucarados,"Chocolate, ao leite",1.26,539.6,2257.6,7.22,30.27,16.52,59.58,2.17,1.68,191.19,57.1,0.303,212.11,1.58,77.1,354.51,0.313,1.06,0,,,0.05,0.217,0.59,0.63,0
496,Produtos açucarados,"Chocolate, ao leite, com castanha do Pará",1.21,558.9,2338.3,7.41,34.19,15.5,55.38,2.46,1.81,171.23,79.57,0.364,302.52,1.47,64.05,430.92,0.452,1.3,36.15,,,0.04,0.243,0,1.367,1.42
497,Produtos açucarados,"Chocolate, ao leite, dietético",1.73,556.8,2329.8,6.9,33.77,12.96,56.32,2.85,1.28,187.89,67.21,0.407,276.47,3.31,84.71,458.4,0.425,1.12,7.04,,,0.307,0.25,0,0.79,2.05
498,Produtos açucarados,"Chocolate, meio amargo",1.02,474.9,1987.1,4.86,29.86,2.22,62.42,4.94,1.84,44.67,107.36,0.832,219.98,3.61,8.87,431.7,0.766,1.52,0,,,0.2,0.037,0,1.063,2.1
499,Produtos açucarados,Cocada branca,3.42,448.8,1878,1.12,13.59,,81.38,3.57,0.48,7.06,17.41,0.361,396.41,1.24,28.99,183.07,0.202,0.41,,,,0,0,0.163,0.467,0
500,Produtos açucarados,"Doce, de abóbora, cremoso",43.88,198.9,832.3,0.92,0.21,,54.61,2.28,0.38,12.99,5.52,0.008,13.74,0.85,0,136.75,0,0,,,,0.077,0,0.04,0,0.11
501,Produtos açucarados,"Doce, de leite, cremoso",27.5,306.3,1281.6,5.48,5.99,20.06,59.49,,1.54,195.1,16.26,0.013,140.78,0.07,120.09,259.46,0.022,0.53,35.64,35.64,35.64,0.05,0.257,0,0,0
502,Produtos açucarados,"Geléia, mocotó, natural",73.48,106.1,443.9,2.12,0.07,0,24.23,,0.09,3.52,0.75,0,0,0.12,42.68,2,0,0,0,,,0.19,0,0.223,0,0
503,Produtos açucarados,Glicose de milho,20.41,292.1,1222.2,0,0,,79.38,,0.21,5.67,1.9,0,4.78,0.05,58.93,5.06,0,0,,,,,,,,
504,Produtos açucarados,Maria mole,21.57,301.2,1260.4,3.81,0.19,,73.55,0.67,0.87,13.36,6.89,0.058,4.35,0.39,15.31,23.56,0.195,0.09,,,,0.043,0,0,0,0
505,Produtos açucarados,"Maria mole, coco queimado",20.73,306.6,1282.9,3.93,0.09,,75.06,0.64,0.18,19.46,5.99,0.085,5.42,0.47,14.29,35.96,0.027,0.09,,,,0.037,0,0,0,0
506,Produtos açucarados,Marmelada,28.5,257.2,1076.3,0.4,0.14,,70.76,4.07,0.2,11.32,5.8,0.055,19.62,0.73,10.88,83.15,0.089,0.08,,,,0,0,0,0,0
507,Produtos açucarados,"Mel, de abelha",15.82,309.2,1293.9,0,0,,84.03,,0.14,10.2,5.51,0.383,3.89,0.25,6.04,99.32,0,0.17,,,,0.107,0,0,0,0.74
508,Produtos açucarados,Melado,22.09,296.5,1240.6,0,0,,76.62,,1.3,102.06,115.14,2.623,73.61,5.39,4.01,395.06,0.836,0.27,,,,0,0.05,0.2,0,0
509,Produtos açucarados,Quindim,23.93,411.3,1721.1,4.74,24.43,271.02,46.3,3.22,0.61,37.18,14.9,0.246,167.91,1.38,27.37,111,0.105,1.11,75.98,,,0,0.04,0.04,1.14,0
510,Produtos açucarados,Rapadura,7.1,352,1472.6,0.99,0.07,,90.79,,1.05,30.49,47.18,1.663,21.3,4.44,21.71,458.87,0.173,0.56,,,,0,0,0.037,0,0
511,Miscelâneas,"Café, pó, torrado",2.93,418.6,1751.5,14.7,11.95,,65.75,51.23,4.67,106.89,165.12,2.579,169.48,8.13,1.13,1608.58,1.303,0.52,,,,0,0,0,11.887,0
512,Miscelâneas,"Capuccino, pó",2.6,417.4,1746.4,11.31,8.63,28.9,73.61,2.44,3.84,466.59,70.85,0.171,357.61,2.28,382.29,885.8,0,1.14,51.53,,,0,1.41,0,0,0
513,Miscelâneas,"Fermento em pó, químico",7.08,89.7,375.4,0.48,0.07,,43.91,,48.46,,,,,,10052.41,,,,,,,,,,,
514,Miscelâneas,"Fermento, biológico, levedura, tablete",71.9,89.8,375.7,16.96,1.52,,7.7,4.17,1.93,18.01,38.45,0.203,418.66,2.62,39.61,576.24,0.288,11,,,,0.303,0.357,0,0,0
515,Miscelâneas,"Gelatina, sabores variados, pó",1.24,380.2,1590.9,8.89,0,,89.22,,0.62,26.84,2.31,0.026,1.99,0.33,234.92,7.25,0,0,,,,0,0,0,0,40
516,Miscelâneas,"Sal, dietético",0.6,,,,,,,,99.4,,,,,,23431.52,20467.64,,,,,,,,,,
517,Miscelâneas,"Sal, grosso",0.41,,,,,,,,,,,,,,39943.2,,,,,,,,,,,
518,Miscelâneas,Shoyu,70.63,60.9,254.9,3.31,0.33,,11.65,,14.09,14.53,23.63,0.065,47.04,0.5,5024.21,165.18,0,0.19,,,,0.827,0.06,0.153,2.1,0
519,Miscelâneas,Tempero a base de sal,7.65,21.3,89.2,2.67,0.26,,2.07,0.56,87.35,,,,,,32560,,,,,,,,,,,
520,Outros alimentos industrializados,"Azeitona, preta, conserva",68.46,194.2,812.3,1.16,20.34,,5.54,4.55,4.48,58.75,4.76,0.055,16,5.45,1566.66,78.57,0.252,0.29,,,,0,0,0.04,0,0
521,Outros alimentos industrializados,"Azeitona, verde, conserva",76.26,136.9,572.9,0.95,14.22,,4.1,3.85,4.48,45.64,3.94,0.026,5.36,0.18,1347.18,19.81,0.141,0.08,,,,0,0,0,0,0
522,Outros alimentos industrializados,"Chantilly, spray, com gordura vegetal",55.14,315,1317.8,0.53,27.27,0,16.86,,0.21,2.27,0.85,0,15.65,0,109.7,5.11,0.014,0.07,0,,,0.07,0,0,0,
523,Outros alimentos industrializados,"Leite, de coco",77.98,166.2,695.2,1.01,18.36,,2.19,0.68,0.44,5.85,16.83,0.238,25.52,0.46,44.29,143.67,0.155,0.32,,,,0,0,0,0,0
524,Outros alimentos industrializados,"Maionese, tradicional com ovos",58.42,302.2,1264.2,0.58,30.5,42.47,7.9,,2.6,3.48,0.86,0,14.45,0.1,786.83,16.09,0,0.06,8,,,0,0.053,0,0,0
525,Alimentos preparados,Acarajé,50.46,289.2,1210.1,8.35,19.93,25.46,19.11,9.36,2.15,124.42,51.12,0.595,141.56,1.93,304.89,353.66,0.226,1.19,0,,,0.063,0,0,0,
526,Alimentos preparados,Arroz carreteiro,68.04,153.8,643.4,10.83,7.12,36.09,11.58,1.5,2.43,13.26,9.29,0.183,47.64,0.95,1621.73,87.15,0.078,2.67,0,,,0.03,0,0.073,1.603,
527,Alimentos preparados,"Baião de dois, arroz e feijão-de-corda",69.05,135.7,567.7,6.24,3.23,4.1,20.42,5.07,1.06,33.3,18.68,0.272,71.68,0.56,93.3,157.31,0.075,0.6,0,,,0.037,0,0.037,0,0
528,Alimentos preparados,Barreado,71.17,165,690.3,18.27,9.53,60.11,0.24,0.15,0.79,14.51,21.37,0.051,169.31,2.44,47.63,294.56,0.165,4.83,0,,,0.03,0.04,0,2.093,0
529,Alimentos preparados,"Bife à cavalo, com contra filé",54.21,291.2,1218.5,23.66,21.15,256.63,0,,1.12,25.98,19.49,0.015,215.82,2.1,82.87,272.23,0.057,3.21,36.8,,,0.047,0.103,0,2.917,
530,Alimentos preparados,Bolinho de arroz,41.5,273.5,1144.4,8.04,8.29,70.3,41.68,2.74,0.49,23.57,13.45,0.416,87.27,2.12,58.86,96.45,0.131,0.86,0,,,0.083,0.047,0,0,0
531,Alimentos preparados,Camarão à baiana,81.99,100.8,421.7,7.94,5.97,116.78,3.17,0.39,0.93,42.68,14.86,0.108,244.09,1.42,84.79,139.14,0.073,0.47,0,,,0,0,0,0.307,4.07
532,Alimentos preparados,"Charuto, de repolho",81.55,78.2,327.3,6.78,1.12,21.34,10.13,1.46,0.42,22.89,13.46,0.22,67.89,0.86,12.1,184.03,1.447,1.75,0,,,0.03,0,0,0.32,4.77
533,Alimentos preparados,"Cuscuz, de milho, cozido com sal",71.14,113.5,474.7,2.16,0.68,,25.28,2.05,0.75,1.54,2.72,0.023,23.18,0.17,247.67,10.85,0,0.2,0,,,0,0,0.063,0,0
534,Alimentos preparados,"Cuscuz, paulista",68.94,142.1,594.6,2.56,4.65,15.05,22.51,2.43,1.34,14.16,5.1,0.063,25.95,0.33,235.71,52.93,0.049,0.21,0,,,0,0,0,0.933,0
535,Alimentos preparados,"Cuxá, molho",80.99,80.1,335.1,5.64,3.59,58.39,5.74,3.02,4.03,105.48,33.58,0.234,111.13,0.94,1344.29,124.06,0.172,0.57,0,32.58,16.29,0.04,0,0.03,1.097,10.28
536,Alimentos preparados,Dobradinha,75.27,124.5,520.9,19.77,4.44,144.02,0,,0.29,11.34,8.25,0.105,57.12,1.01,28.77,57.58,0.055,2.72,0,,,0,0,0,4.267,
537,Alimentos preparados,Estrogonofe de carne,70.13,173.1,724.4,15.03,10.8,66.22,2.98,,1.06,28.32,21.51,0.033,185.57,2.7,122.85,322.31,0.14,2.04,27.63,,,0.06,0.05,0,3.253,0
538,Alimentos preparados,Estrogonofe de frango,70.89,156.8,656.1,17.55,7.96,79.96,2.59,,1,26.05,24.76,0.028,195.16,1.52,99.45,307.09,0.123,0.58,28.22,,,0.073,0.04,0.03,3.367,0
539,Alimentos preparados,Feijão tropeiro mineiro,61.67,151.6,634.1,10.17,6.79,67.88,19.58,3.57,1.79,41.2,36.11,0.382,199.25,2.16,365.07,348.93,0.217,1.45,8.77,,,0,0,0,1.437,0
540,Alimentos preparados,L,71.8,116.9,489.2,8.67,6.48,21.96,11.64,5.09,1.41,32.38,31.85,0.243,105.46,1.35,278.22,303.49,0.154,0.83,0,,,0.077,0.03,0,0.93,0
541,Alimentos preparados,"Frango, com açafrão",79.52,112.8,471.9,9.7,6.17,50.42,4.06,0.22,0.55,12.99,16.09,0.089,166.84,0.84,28.81,256.37,0.021,0.5,8.09,,,0.03,0,0,1.64,5.28
542,Alimentos preparados,"Macarrão, molho bolognesa",71.41,119.5,500.1,4.93,0.89,6.93,22.52,0.78,0.24,10.55,9.98,0.22,53.96,1.39,8.94,83.57,0.087,0.75,0,,,0.037,0,0,1.437,0
543,Alimentos preparados,Maniçoba,76.4,134.2,561.6,9.96,8.7,42.77,3.42,2.16,1.53,65.98,23.65,0.596,54.88,3.22,406.7,147.71,0.16,2.03,0,221.88,110.94,0.043,0.07,0.05,2.577,0
544,Alimentos preparados,Quibebe,81.11,86.3,361.3,8.56,2.67,,6.64,1.67,1.02,7.68,10.39,0.053,42.52,0.78,246.61,152.81,0.606,1.64,0,104.92,52.46,0,0.03,0.037,,0
545,Alimentos preparados,"Salada, de legumes, com maionese",82.04,96.1,402.1,1.05,7.04,7.2,8.92,2.22,0.95,12.13,8.71,0.097,22.27,0.23,228.43,141.29,0.035,0.16,0,282.75,141.38,0.037,0,0.04,0,0
546,Alimentos preparados,"Salada, de legumes, cozida no vapor",89.98,35.4,148.1,2.01,0.31,,7.09,2.51,0.61,32.9,18.58,0.235,44.79,0.44,2.51,244.3,0.171,0.3,,510,255,0.05,0.03,0.033,0,29.35
547,Alimentos preparados,"Salpicão, de frango",72.53,147.9,618.7,13.93,7.84,52.52,4.57,0.41,1.14,9.41,13.25,0.027,102.58,0.32,248.35,148.97,0.078,0.39,0,14.5,7.25,0.05,0,0,1.477,9.26
548,Alimentos preparados,Sarapatel,74.95,123,514.6,18.47,4.42,315.36,1.09,,1.06,12.23,12.8,0.104,163.5,7.18,215.62,198.76,1.483,1.77,1463.67,,,0,0.11,0,3.837,0
549,Alimentos preparados,Tabule,85.77,57.5,240.4,2.05,1.21,,10.58,2.08,0.39,18.85,17.98,0.368,35.47,0.55,1.19,187.63,0.121,0.58,,,,0.03,0,0,0.6,16.22
550,Alimentos preparados,Tacacá,85.19,46.9,196.2,6.96,0.36,70.56,3.39,0.21,4.1,44.82,29.9,0.115,89.17,0.95,1349.06,240.18,0.219,0.79,0,35.36,17.68,0.047,0,0,,0
551,Alimentos preparados,"Tapioca, com manteiga",24.9,347.8,1455.3,0.09,10.91,31.19,63.59,0,0.51,30.03,3.22,0.06,8.43,0.24,157.52,19.3,0.008,0.04,75.27,,,0,0,0,0,0
552,Alimentos preparados,"Tucupi, com pimenta-de-cheiro",91.88,27.2,113.7,2.06,0.28,,4.74,0.23,1.04,28.26,42.49,0.521,30.81,1.15,5.13,390.84,0.12,0.85,,50.58,25.29,0,0,0.053,0,46.4
553,Alimentos preparados,Vaca atolada,74.95,144.9,606.2,5.12,9.32,18.59,10.06,2.34,0.54,62.66,15.75,0.039,71.77,0.73,25.63,219.81,0.12,1.2,0,,,0,0,0,0.77,0
554,Alimentos preparados,Vatapá,58.36,254.9,1066.5,6,23.23,44.45,9.75,1.7,2.67,46.82,39.32,0.48,108.44,1.44,879.85,209.41,0.279,0.85,0,,,0,0,0,1.797,0
555,Alimentos preparados,Virado à paulista,48.59,306.9,1284.3,10.18,25.59,65.84,14.11,2.16,1.53,40.71,21.81,0.154,135.49,1.05,345.53,237.26,0.072,1.04,10.17,,,0.14,0.05,0,2.597,0
556,Alimentos preparados,Yakisoba,69.38,112.8,472,7.52,2.61,,18.25,1.06,2.25,13.95,13.34,0.147,83.03,0.62,793.76,158.57,0.061,0.68,,62,31,0.163,0,0,2.093,0
557,Leguminosas e derivados,"Amendoim, grão, cru",6.43,544.1,2276.3,27.19,43.85,,20.31,8.04,2.22,0,170.51,1.957,407.2,2.53,0,580.44,0.781,3.17,,,,0.1,0.03,0.763,10.177,0
558,Leguminosas e derivados,"Amendoim, torrado, salgado",1.69,605.8,2534.6,22.48,53.96,,18.7,7.76,3.17,39.43,159.34,1.701,260.76,1.33,375.73,495.67,0.682,2.12,,,,0.083,0,0.21,7.47,0
559,Leguminosas e derivados,"Ervilha, em vagem",76.84,88.1,367,7.45,0.47,,14.23,9.72,1.01,24.44,41.76,0.402,151.98,1.44,0,310.98,0.196,1.23,,,,0.273,0.07,0.06,1.163,12.44
560,Leguminosas e derivados,"Ervilha, enlatada, drenada",80.14,73.8,309,4.6,0.38,,13.44,5.08,1.44,22.21,23.19,0.46,78.51,1.39,372.11,147.12,0.138,0.88,,9.17,4.58,0.067,0.03,0,0,
561,Leguminosas e derivados,"Feijão, carioca, cozido",80.35,76.4,319.8,4.78,0.54,,13.59,8.51,0.74,26.59,42.34,0.284,86.85,1.29,1.76,254.62,0.188,0.7,,,,0.04,0,0,0,0
562,Leguminosas e derivados,"Feijão, carioca, cru",14,329,1376.6,19.98,1.26,,61.22,18.42,3.54,122.57,209.95,1.02,385.38,7.99,0,1352.46,0.79,2.9,,,,0.167,0,0.65,4.023,
563,Leguminosas e derivados,"Feijão, fradinho, cozido",80.01,78,326.4,5.09,0.64,,13.5,7.47,0.75,17.45,38.12,0.53,84.59,1.06,0.98,252.98,0.103,1.12,,,,0.123,0,0,0,0
564,Leguminosas e derivados,"Feijão, fradinho, cru",12.7,339.2,1419.1,20.21,2.37,,61.24,23.59,3.49,77.52,178.39,1.428,354.51,5.13,10.31,1082.74,0.699,3.88,,,,0.137,0.03,0.26,0,0
565,Leguminosas e derivados,"Feijão, jalo, cozido",75.84,92.7,388,6.14,0.51,,16.5,13.87,1.01,29.4,44.1,0.32,121.01,1.92,0.52,347.72,0.236,1.01,,,,0.127,0,0.04,0,0
566,Leguminosas e derivados,"Feijão, jalo, cru",13.53,327.9,1372,20.1,0.95,,61.48,30.32,3.94,97.97,169.9,0.991,427.19,7.03,24.58,1275.95,0.951,3.01,,,,0.1,0,0.123,0,0
567,Leguminosas e derivados,"Feijão, preto, cozido",80.22,77,322.3,4.48,0.54,,14.01,8.4,0.76,29,40.37,0.365,88.03,1.47,1.85,256.37,0.198,0.72,,,,0.06,0,0.03,0,0
568,Leguminosas e derivados,"Feijão, preto, cru",14.88,323.6,1353.8,21.34,1.24,,58.75,21.83,3.79,110.9,188.11,1.316,471.16,6.46,0,1415.68,0.827,2.85,,,,0.117,0,0.59,4.6,
569,Leguminosas e derivados,"Feijão, rajado, cozido",77.86,84.7,354.4,5.54,0.4,,15.27,9.32,0.93,29.19,41.71,0.294,112.93,1.36,0.69,314.58,0.227,0.92,,,,0.093,0,0.04,0,0
570,Leguminosas e derivados,"Feijão, rajado, cru",14.96,325.8,1363.3,17.27,1.17,,62.93,24.01,3.67,111.43,169.9,1.17,334.79,18.58,13.65,1134.54,0.844,2.6,,,,0.07,0.03,0.067,0,0
571,Leguminosas e derivados,"Feijão, rosinha, cozido",82.58,67.9,284,4.54,0.48,,11.82,4.76,0.58,19.24,42.96,0.461,89.51,1.18,2.08,240.57,0.092,1.3,,,,0,0,0,3.69,0
572,Leguminosas e derivados,"Feijão, rosinha, cru",11.95,337,1409.8,20.92,1.33,,62.22,20.63,3.58,67.66,184.5,1.078,393.59,5.32,24.11,1108.66,0.595,3.98,,,,0.163,0.03,0,3.923,0
573,Leguminosas e derivados,"Feijão, roxo, cozido",79.99,76.9,321.7,5.72,0.54,,12.91,11.51,0.85,22.53,34.39,0.321,106.33,1.41,1.46,268.09,0.225,1.01,,,,0.147,0,0.03,0,0
574,Leguminosas e derivados,"Feijão, roxo, cru",12.64,331.4,1386.6,22.17,1.24,,59.99,33.84,3.97,120.46,161.94,1.341,393.7,6.92,9.76,1221.4,1.037,3.29,,,,0.263,0,0.08,0,0
575,Leguminosas e derivados,"Grão-de-bico, cru",12.29,354.7,1484.1,21.23,5.43,,57.88,12.36,3.17,114.36,146.39,3.157,342.34,5.38,5.19,1115.7,0.671,3.19,,,,0.52,0,0.753,0,0
576,Leguminosas e derivados,"Guandu, cru",11.45,344.1,1439.9,18.96,2.13,,64,21.31,3.45,129.34,166,1.016,269.19,1.94,1.62,1214.8,0.573,2.02,,,,1.063,0,0.07,2.693,1.47
577,Leguminosas e derivados,"Lentilha, cozida",76.25,92.6,387.6,6.31,0.52,,16.3,7.86,0.61,16.1,21.65,0.285,103.74,1.48,1.18,219.9,0.175,1.13,,,,0.03,0,0,0,0
578,Leguminosas e derivados,"Lentilha, crua",11.47,339.1,1419,23.15,0.77,,62,16.94,2.61,53.52,93.53,1.084,367.74,7.05,0,886.88,0.833,3.49,,,,0.113,0,0.417,5.073,
579,Leguminosas e derivados,"Paçoca, amendoim",1.8,486.9,2037.3,16,26.08,,52.38,7.32,3.75,22.48,100.67,1.055,198.5,1.13,166.84,347.6,0.379,1.56,,,,0,0,1.197,0,0
580,Leguminosas e derivados,"Pé-de-moleque, amendoim",2.91,503.2,2105.3,13.16,28.05,,54.73,3.39,1.15,27.11,107.9,1.089,170.71,1.26,16.35,355.41,0.427,1.43,,,,0.043,0.03,0.11,5.94,0
581,Leguminosas e derivados,"Soja, farinha",5.75,404,1690.2,36.03,14.63,,38.44,20.18,5.15,206.02,241.9,2.871,539.25,13.06,5.75,1922.39,1.287,4.54,,,,0.2,0.037,0.03,0,0
582,Leguminosas e derivados,"Soja, extrato solúvel, natural, fluido",91.28,39.1,163.6,2.38,1.61,,4.28,0.37,0.45,16.52,15.45,0.146,52.89,0.43,56.53,121.04,0.083,0.28,,,,0,0,0,0,0
583,Leguminosas e derivados,"Soja, extrato solúvel, pó",4.47,458.9,1920,35.69,26.18,,28.48,7.31,5.18,359.04,215.62,2.676,646.55,7.01,83.47,1606.8,1.185,5.84,,,,0,0.107,0.353,0,9.21
584,Leguminosas e derivados,"Soja, queijo (tofu)",86.65,64.5,269.8,6.55,3.95,,2.13,0.75,0.72,80.76,38.2,0.334,129.52,1.43,1.21,181.69,0.179,0.89,,,,0.037,0,0.033,0,0
585,Leguminosas e derivados,"Tremoço, cru",9.69,381.3,1595.3,33.58,10.34,,43.79,32.31,2.6,176.75,121.43,,264.68,2.79,3.29,708.32,0.791,4.24,,,,0.24,0,0.067,0,24.97
586,Leguminosas e derivados,"Tremoço, em conserva",67.68,120.6,504.8,11.11,3.78,,12.39,14.44,5.03,15.54,3.52,,39.72,0.34,1808.76,5.2,0.265,0.64,,,,0,0,0,0,0
587,Nozes e sementes,"Amêndoa, torrada, salgada",3.11,580.7,2429.8,18.55,47.32,,29.55,11.64,1.47,236.7,222.1,1.948,493.06,3.06,278.52,639.6,0.932,2.58,,,,0.29,0.163,0,0,0
588,Nozes e sementes,"Castanha-de-caju, torrada, salgada",3.46,570.2,2385.6,18.51,46.28,,29.13,3.66,2.61,32.59,236.61,1.59,594.22,5.22,125,671.46,1.915,4.72,,,,0.287,0.047,0.393,0,0
589,Nozes e sementes,"Castanha-do-Brasil, crua",3.52,643,2690.2,14.54,63.46,,15.08,7.93,3.4,146.34,365.12,1.104,853.28,2.31,0.65,650.99,1.788,4.22,,,,0.303,0,0.44,0,0
590,Nozes e sementes,"Coco, cru",42.96,406.5,1700.7,3.69,41.98,,10.4,5.38,0.97,6.48,51.46,1,117.54,1.76,15.32,354.15,0.453,0.94,,,,0,0,0.025,0,2.49
591,Nozes e sementes,"Coco,  verde, cru",,,,,,,,,,,,,,,,,,,,,,,,,,
592,Nozes e sementes,"Farinha, de mesocarpo de babaçu, crua",15.82,328.8,1375.6,1.41,0.2,,79.17,17.86,3.4,60.95,39.35,0.382,25.56,18.33,12.46,362.07,0.223,0.34,,,,0,0,0,2.577,0
593,Nozes e sementes,"Gergelim, semente",3.86,583.5,2441.6,21.16,50.43,,21.62,11.87,2.93,825.45,360.69,2.673,740.71,5.45,2.57,546.29,1.51,5.24,,,,0.937,0,0.13,5.923,0
594,Nozes e sementes,"Linhaça, semente",6.68,495.1,2071.5,14.08,32.25,,43.31,33.5,3.67,211.5,346.92,2.814,615.18,4.7,8.67,869.29,1.087,4.39,,,,0.117,0,0.133,0,0
595,Nozes e sementes,"Pinhão, cozido",50.51,174.4,729.6,2.98,0.75,,43.92,15.6,1.84,15.77,52.97,0.409,165.84,0.76,0.86,727.01,0.183,0.83,,,,0,0,0,0,27.69
596,Nozes e sementes,"Pupunha, cozida",54.46,218.5,914.3,2.52,12.76,,29.57,4.25,0.69,27.59,25.29,0.127,48.77,0.52,0.91,303.36,0.282,0.29,,875.44,437.72,0,0.087,0.03,0,2.18
597,Nozes e sementes,"Noz, crua",6.24,620.1,2594.3,13.97,59.36,,18.36,7.25,2.06,105.31,152.89,4.053,396.28,2.04,4.57,533.25,0.754,2.06,,,,0.377,0,0.13,1.083,0
