codigo,descricao,grupo,energiaKcal,proteinaG,lipideosG,carboidratoG,fibraG,calcioMg,magnesioMg,manganesMg,fosforoMg,ferroMg,sodioMg,potassioMg,cobreMg,zincoMg,selenioMcg,retinolMcg,raeMcg,tiaminaMg,riboflavinaMg,niacinaMg,piridoxinaMg,vitaminaB12Mcg,folatoMcg,vitaminaDMcg,vitaminaEMg,vitaminaCMg,colesterolMg,gordurasSaturadasG,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasTransG,acucaresG,acucaresAdicionadosG
8101101-5,"Hamburguer de Frango, frito(a)",,266.7,16.19,16.55,12.64,0.61,71.17,20.85,0.133,146.93,1.26,121.92,197.35,0.068,1.29,18.67,18.68,19.74,0.179,0.218,5.109,0.244,0.361,31,0.59,0.756,0.6,44.34,3.997,5.191,6.18,0.961,2.85,1.1
8101101-6,"Hamburguer de Frango, empanado(a)/a milanesa",,266.7,16.19,16.55,12.64,0.61,71.17,20.85,0.133,146.93,1.26,121.92,197.35,0.068,1.29,18.67,18.68,19.74,0.179,0.218,5.109,0.244,0.361,31,0.59,0.756,0.6,44.34,3.997,5.191,6.18,0.961,2.85,1.1
8101101-99,Hamburguer de Frango,,206.1,16.19,9.71,12.64,0.61,71.17,20.85,0.133,146.93,1.26,121.92,197.35,0.068,1.29,15.53,18.68,19.74,0.179,0.218,5.109,0.244,0.361,31,0.59,0.196,0.6,44.34,2.925,3.631,2.226,0.925,2.85,1.1
8102101-1,"Salsicha No Varejo, cru(a)",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-2,"Salsicha No Varejo, cozido(a)",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-3,"Salsicha No Varejo, grelhado(a)/brasa/churrasco",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-4,"Salsicha No Varejo, assado(a)",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-5,"Salsicha No Varejo, frito(a)",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-7,"Salsicha No Varejo, refogado(a)",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-8,"Salsicha No Varejo, molho vermelho",,289.4,8.55,26.09,4.74,0.04,36.07,8.94,0.017,82.63,0.71,960.69,117.1,0.04,1.16,9.1,31.09,31.47,0.086,0.117,1.803,0.116,0.567,4.89,0.481,0.177,0,49.19,10.223,10.716,2.494,0.738,3.56,2.88
