codigo,descricao,grupo,energiaKcal,proteinaG,lipideosG,carboidratoG,fibraG,calcioMg,magnesioMg,manganesMg,fosforoMg,ferroMg,sodioMg,potassioMg,cobreMg,zincoMg,selenioMcg,retinolMcg,raeMcg,tiaminaMg,riboflavinaMg,niacinaMg,piridoxinaMg,vitaminaB12Mcg,folatoMcg,vitaminaDMcg,vitaminaEMg,vitaminaCMg,colesterolMg,gordurasSaturadasG,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasTransG,acucaresG,acucaresAdicionadosG
6300101-99,"Arroz (Polido, Parboilizado, Agulha, Agulhinha, Etc)",,135.6,2.5,1.2,27.78,1.55,3.51,2.23,0.294,17.77,0.08,1.19,14.53,0.015,0.49,0.45,,,,,,,,,,0.08,,,0.351,0.222,0.563,0.005,,
6300201-99,Arroz Integral,,130.9,2.56,1.97,25.56,2.72,5.15,58.13,0.621,104.82,0.26,1.23,74.42,0.02,0.68,0.45,,,0.079,,,0.079,,,,0.08,,,0.45,0.618,0.86,0.005,,
6300701-1,"Milho (em Grao), cru(a)",,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-2,"Milho (em Grao), cozido(a)",,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-3,"Milho (em Grao), grelhado(a)/brasa/churrasco",,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-4,"Milho (em Grao), assado(a)",,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-7,"Milho (em Grao), refogado(a)",,160.1,3.32,7.18,25.11,4.25,3,26,0.158,75,0.44,,212,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-13,"Milho (em Grao), ensopado",,160.1,3.32,7.18,25.11,4.25,3,26,0.158,75,0.44,,212,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-99,Milho (em Grao),,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300706-1,"Canjiquinha de Milho em Grao, cru(a)",,79.7,1.24,2.2,13.5,0.67,3.45,6.93,0.031,17.91,0.74,131.5,25.96,0.023,0.13,2.85,,1.83,0.105,0.071,0.906,0.034,,20.81,,0.182,,,0.329,0.49,1.218,0.01,0.28,
6300706-2,"Canjiquinha de Milho em Grao, cozido(a)",,63,1.24,0.3,13.5,0.67,3.37,6.92,0.031,17.91,0.74,5.01,25.93,0.023,0.13,1.98,,1.83,0.105,0.071,0.906,0.034,,20.81,,0.027,,,0.033,0.059,0.125,,0.28,
6300706-13,"Canjiquinha de Milho em Grao, ensopado",,79.7,1.24,2.2,13.5,0.67,3.37,6.92,0.031,17.91,0.74,5.01,25.93,0.023,0.13,2.85,,1.83,0.105,0.071,0.906,0.034,,20.81,,0.182,,,0.329,0.49,1.218,0.01,0.28,
6300706-14,"Canjiquinha de Milho em Grao, mingau",,63,1.24,0.3,13.5,0.67,3.37,6.92,0.031,17.91,0.74,5.01,25.93,0.023,0.13,1.98,,1.83,0.105,0.071,0.906,0.034,,20.81,,0.027,,,0.033,0.059,0.125,,0.28,
6300706-15,"Canjiquinha de Milho em Grao, sopa",,31.4,0.95,0.12,7.01,0.71,8.55,6.35,0.068,15.76,0.28,310.43,88.31,0.039,0.12,1.34,,33.48,0.03,0.026,0.505,0.04,0.015,9.28,,0.204,2.1,,0.039,0.027,0.032,0.002,3.27,2.52
6300706-99,Canjiquinha de Milho em Grao,,63,1.24,0.3,13.5,0.67,3.37,6.92,0.031,17.91,0.74,5.01,25.93,0.023,0.13,1.98,,1.83,0.105,0.071,0.906,0.034,,20.81,,0.027,,,0.033,0.059,0.125,,0.28,
6300707-99,Xerem de Milho,,63,1.24,0.3,13.5,0.67,3.37,6.92,0.031,17.91,0.74,5.01,25.93,0.023,0.13,1.98,,1.83,0.105,0.071,0.906,0.034,,20.81,,0.027,,,0.033,0.059,0.125,,0.28,
6301001-99,Amendoim (em Grao) (In Natura),,567,25.8,49.24,16.13,8.5,92,168,1.934,376,4.58,18,705,1.144,3.27,7.2,,,0.64,0.135,12.066,0.348,,240,,8.33,,,6.834,24.429,15.559,,4,
6301101-99,Ervilha em Grao,,109.1,5.36,3.06,15.63,5.5,27,39,0.525,117,1.54,3,271,0.173,1.19,3.2,,40.08,0.259,0.149,2.021,0.216,,63,,0.372,14.2,,0.483,0.666,1.741,0.015,5.94,
6301201-99,Fava (em Grao),,85.6,4.8,3.17,10.1,3.6,18,31,0.261,73,1.5,41,193,0.06,0.47,2.22,,18.83,0.128,0.09,1.2,0.029,,58,,0.336,19.8,,0.56,0.629,1.846,0.014,1.24,
6301204-99,Mangalo Amargo em Grao,,85.6,4.8,3.17,10.1,3.6,18,31,0.261,73,1.5,41,193,0.06,0.47,2.22,,18.83,0.128,0.09,1.2,0.029,,58,,0.336,19.8,,0.56,0.629,1.846,0.014,1.24,
6301603-99,Feijao de Corda,,121.3,3.17,3.13,20.32,5,128,52,0.572,51,1.12,4,418,0.133,1.03,3.76,,39.58,0.101,0.148,1.403,0.065,,127,,0.445,2.2,,0.527,0.661,1.75,0.015,0.34,
6301634-99,Feijao Verde,,121.3,3.17,3.13,20.32,5,128,52,0.572,51,1.12,4,418,0.133,1.03,3.76,,39.58,0.101,0.148,1.403,0.065,,127,,0.445,2.2,,0.527,0.661,1.75,0.015,0.34,
6302001-99,Semente de Linhaca,,534,18.29,42.16,28.88,27.3,255,392,2.482,642,5.73,30,813,1.22,4.34,25.4,,,1.644,0.161,3.08,0.473,,87,,0.31,0.6,,3.663,7.527,28.73,,1.55,
6302602-99,Andu,,97.4,5.84,1.79,15.05,3.78,55.2,38.2,0.382,67.8,2.22,5.2,336.6,0.176,0.83,1.51,,,0.071,0.028,0.084,0.056,,48.6,,0.694,,,0.303,0.38,1.006,0.008,0.3,
6302801-99,Grao de Bico,,188.5,8.86,5.36,27.42,7.6,49,48,1.03,168,2.89,7,291,0.352,1.53,4.97,,1.33,0.116,0.063,0.526,0.139,,172,,0.577,1.3,,0.702,1.214,2.755,0.015,1.7,
6302901-99,Lentilha,,136.3,9.02,2.67,20.13,5.86,19,36,0.494,180,3.33,2,369,0.251,1.27,3.85,,0.42,0.169,0.073,1.06,0.178,,181,,0.298,1.5,,0.412,0.587,1.499,0.012,0.39,
6303001-99,Soja em Grao,,196.3,16.64,11.61,9.93,6,102,86,0.824,245,5.14,1,515,0.407,1.15,8.51,,0.42,0.155,0.285,0.399,0.234,,54,,0.566,1.7,,1.71,2.583,6.589,0.014,0.8,
6303102-99,"Feijao (Preto, Mulatinho, Roxo, Rosinha, Etc)",,97.4,5.84,1.79,15.05,3.78,55.2,38.2,0.382,67.8,2.22,5.2,336.6,0.176,0.83,1.51,,,0.071,0.028,0.084,0.056,,48.6,,0.694,,,0.303,0.38,1.006,0.008,0.3,
6303501-99,Quirera Nao Especificada,,63,1.24,0.3,13.5,0.67,3.37,6.92,0.031,17.91,0.74,5.01,25.93,0.023,0.13,1.98,,1.83,0.105,0.071,0.906,0.034,,20.81,,0.027,,,0.033,0.059,0.125,,0.28,
6304034-99,Feijao Verde Organico,,121.3,3.17,3.13,20.32,5,128,52,0.572,51,1.12,4,418,0.133,1.03,3.76,,39.58,0.101,0.148,1.403,0.065,,127,,0.445,2.2,,0.527,0.661,1.75,0.015,0.34,
6304101-99,Feijao Organico,,97.4,5.84,1.79,15.05,3.78,55.2,38.2,0.382,67.8,2.22,5.2,336.6,0.176,0.83,1.51,,,0.071,0.028,0.084,0.056,,48.6,,0.694,,,0.303,0.38,1.006,0.008,0.3,
6304201-99,Pipoca Light,,445.9,10.77,17.78,64.85,12.07,6.49,119.91,0.929,298.04,2.67,1072.51,274.11,0.219,2.57,0,,8.19,0.087,0.069,1.921,0.131,,25.81,,1.235,,,3.748,9.358,3.724,4.203,0.72,
6304301-99,Arroz Organico,,135.6,2.5,1.2,27.78,1.55,3.51,2.23,0.294,17.77,0.08,1.19,14.53,0.015,0.49,0.45,,,,,,,,,,0.08,,,0.351,0.222,0.563,0.005,,
6304401-99,Arroz Integral Organico,,130.9,2.56,1.97,25.56,2.72,5.15,58.13,0.621,104.82,0.26,1.23,74.42,0.02,0.68,0.45,,,0.079,,,0.079,,,,0.08,,,0.45,0.618,0.86,0.005,,
6304602-99,Feijao Soja Organico,,196.3,16.64,11.61,9.93,6,102,86,0.824,245,5.14,1,515,0.407,1.15,8.51,,0.42,0.155,0.285,0.399,0.234,,54,,0.566,1.7,,1.71,2.583,6.589,0.014,0.8,
6304901-99,Quinoa,,135.5,4.37,4.33,19.83,2.16,16.57,61.58,0.628,141.28,1.41,4.27,174.05,0.189,0.96,3.75,,0.22,0.111,0.098,0.47,0.151,,56.88,,0.955,,,0.602,1.058,2.435,0.013,1.89,
6400101-1,"Batata-inglesa, cru(a)",,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400101-2,"Batata-inglesa, cozido(a)",,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400101-3,"Batata-inglesa, grelhado(a)/brasa/churrasco",,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400101-4,"Batata-inglesa, assado(a)",,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400101-5,"Batata-inglesa, frito(a)",,263.5,2.87,13.64,33.6,3.44,13.43,33.58,0.235,67.17,0.53,8.4,550.76,0.28,0.46,6.68,,0.28,0.165,0.032,2.203,0.452,,15.11,,1.203,12.43,,2.152,3.073,7.851,0.072,1.44,
6400101-7,"Batata-inglesa, refogado(a)",,111.7,1.71,3.01,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,1.63,,0.17,0.098,0.019,1.312,0.269,,9,,0.298,7.4,,0.482,0.665,1.724,0.016,0.86,
6400101-8,"Batata-inglesa, molho vermelho",,73.6,1.63,0.12,17.08,1.94,9,19.2,0.133,37.2,0.45,108.8,328.6,0.157,0.26,0.28,,3.62,0.083,0.028,1.245,0.235,,9.4,,0.332,7.32,,0.026,0.007,0.049,,1.54,
6400101-9,"Batata-inglesa, molho branco",,101.4,2.15,2.57,17.86,1.68,29.28,18.31,0.122,51.69,0.32,24.92,292.45,0.138,0.3,1.41,20.7,21.21,0.097,0.058,1.145,0.223,0.09,10.8,0.227,0.113,5.92,6.83,1.553,0.639,0.147,0.097,1.72,
6400101-10,"Batata-inglesa, ao alho e oleo",,263.5,2.87,13.64,33.6,3.44,13.43,33.58,0.235,67.17,0.53,8.4,550.76,0.28,0.46,6.68,,0.28,0.165,0.032,2.203,0.452,,15.11,,1.203,12.43,,2.152,3.073,7.851,0.072,1.44,
6400101-11,"Batata-inglesa, com manteiga/oleo",,111.7,1.71,3.01,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,1.63,,0.17,0.098,0.019,1.312,0.269,,9,,0.298,7.4,,0.482,0.665,1.724,0.016,0.86,
6400101-13,"Batata-inglesa, ensopado",,111.7,1.71,3.01,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,1.63,,0.17,0.098,0.019,1.312,0.269,,9,,0.298,7.4,,0.482,0.665,1.724,0.016,0.86,
6400101-15,"Batata-inglesa, sopa",,31.4,0.95,0.12,7.01,0.71,8.55,6.35,0.068,15.76,0.28,310.43,88.31,0.039,0.12,1.34,,33.48,0.03,0.026,0.505,0.04,0.015,9.28,,0.204,2.1,,0.039,0.027,0.032,0.002,3.27,2.52
6400101-99,Batata-inglesa,,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400303-2,"Mandioquinha Salsa (Batata Baroa), cozido(a)",,76,1.37,0.14,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,0.2,,787,0.06,0.05,0.54,0.17,,6,,0.94,12.8,,0.03,,0.06,,5.74,
6400303-7,"Mandioquinha Salsa (Batata Baroa), refogado(a)",,91.7,1.37,1.92,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,1.02,,787,0.06,0.05,0.54,0.17,,6,,1.1,12.8,,0.29,0.41,1.09,,5.74,
6400303-13,"Mandioquinha Salsa (Batata Baroa), ensopado",,91.7,1.37,1.92,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,1.02,,787,0.06,0.05,0.54,0.17,,6,,1.1,12.8,,0.29,0.41,1.09,,5.74,
6400303-99,Mandioquinha Salsa (Batata Baroa),,76,1.37,0.14,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,0.2,,787,0.06,0.05,0.54,0.17,,6,,0.94,12.8,,0.03,,0.06,,5.74,
6400304-99,Cenoura Amarela (Batata Baroa),,76,1.37,0.14,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,0.2,,787,0.06,0.05,0.54,0.17,,6,,0.94,12.8,,0.03,,0.06,,5.74,
6400401-1,"Batata Doce, cru(a)",,76,1.37,0.14,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,0.2,,787,0.06,0.05,0.54,0.17,,6,,0.94,12.8,,0.03,,0.06,,5.74,
6400401-2,"Batata Doce, cozido(a)",,76,1.37,0.14,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,0.2,,787,0.06,0.05,0.54,0.17,,6,,0.94,12.8,,0.03,,0.06,,5.74,
6400401-4,"Batata Doce, assado(a)",,90,2.01,0.15,20.71,3.3,38,27,0.5,54,0.69,36,475,0.16,0.32,0.2,,960.88,0.11,0.11,1.49,0.29,,6,,0.71,19.6,,0.03,,0.06,,6.47,
6400401-5,"Batata Doce, frito(a)",,351.3,4.4,12.59,56.88,8.03,86.67,57.78,0.85,102.72,2.31,86.67,738.3,0.3,0.64,6.21,,2526.27,0.18,0.15,1.73,0.53,,19.26,,4.14,41.09,,1.85,2.83,7.22,,18.43,
6400401-7,"Batata Doce, refogado(a)",,91.7,1.37,1.92,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,1.02,,787,0.06,0.05,0.54,0.17,,6,,1.1,12.8,,0.29,0.41,1.09,,5.74,
6400401-13,"Batata Doce, ensopado",,91.7,1.37,1.92,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,1.02,,787,0.06,0.05,0.54,0.17,,6,,1.1,12.8,,0.29,0.41,1.09,,5.74,
6400401-99,Batata Doce,,76,1.37,0.14,17.72,2.5,27,18,0.27,32,0.72,27,230,0.09,0.2,0.2,,787,0.06,0.05,0.54,0.17,,6,,0.94,12.8,,0.03,,0.06,,5.74,
6400501-1,"Inhame, cru(a)",,100,1.71,0.12,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,0.6,,1043.46,0.07,0.06,0.56,0.19,,22,,0.77,9.1,,0.03,0.01,0.05,,6.47,
6400501-2,"Inhame, cozido(a)",,100,1.71,0.12,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,0.6,,1043.46,0.07,0.06,0.56,0.19,,22,,0.77,9.1,,0.03,0.01,0.05,,6.47,
6400501-4,"Inhame, assado(a)",,90,2.01,0.15,20.71,3.3,38,27,0.5,54,0.69,36,475,0.16,0.32,0.2,,960.88,0.11,0.11,1.49,0.29,,6,,0.71,19.6,,0.03,,0.06,,6.47,
6400501-5,"Inhame, frito(a)",,115.7,1.71,1.9,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,1.42,,1043.46,0.07,0.06,0.56,0.19,,22,,0.93,9.1,,0.28,0.42,1.08,,6.47,
6400501-7,"Inhame, refogado(a)",,115.7,1.71,1.9,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,1.42,,1043.46,0.07,0.06,0.56,0.19,,22,,0.93,9.1,,0.28,0.42,1.08,,6.47,
6400501-13,"Inhame, ensopado",,115.7,1.71,1.9,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,1.42,,1043.46,0.07,0.06,0.56,0.19,,22,,0.93,9.1,,0.28,0.42,1.08,,6.47,
6400501-15,"Inhame, sopa",,31.4,0.95,0.12,7.01,0.71,8.55,6.35,0.068,15.76,0.28,310.43,88.31,0.039,0.12,1.34,,33.48,0.03,0.026,0.505,0.04,0.015,9.28,,0.204,2.1,,0.039,0.027,0.032,0.002,3.27,2.52
6400508-99,Quicare,,100,1.71,0.12,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,0.6,,1043.46,0.07,0.06,0.56,0.19,,22,,0.77,9.1,,0.03,0.01,0.05,,6.47,
6400601-1,"Mandioca, cru(a)",,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400601-2,"Mandioca, cozido(a)",,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400601-4,"Mandioca, assado(a)",,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400601-5,"Mandioca, frito(a)",,162.7,0.57,5.26,28.59,1.52,18.05,25.65,0.057,20.9,0.1,0.95,95,0.009,0.19,2.28,,,0.057,,,0.028,,,,0.407,10.54,,0.874,1.229,2.968,0.027,,
6400601-7,"Mandioca, refogado(a)",,162.7,0.57,5.26,28.59,1.52,18.05,25.65,0.057,20.9,0.1,0.95,95,0.009,0.19,2.28,,,0.057,,,0.028,,,,0.407,10.54,,0.874,1.229,2.968,0.027,,
6400601-8,"Mandioca, molho vermelho",,104.8,0.74,0.28,25.16,1.58,17.8,24.8,0.07,22.8,0.28,105.6,146.2,0.032,0.2,0.04,,3.48,0.052,0.014,0.196,0.044,,2.2,,0.284,10.28,,0.086,0.086,0.094,,0.85,
6400601-11,"Mandioca, com manteiga/oleo",,154.6,0.61,4.34,28.6,1.52,19.25,25.75,0.057,22.1,0.1,29.75,96.2,0.009,0.19,0.05,33.55,34.21,0.058,0.002,0.002,0.028,0.009,0.15,0.07,0.116,10.54,10.75,2.664,1.146,0.247,0.164,0.01,
6400601-13,"Mandioca, ensopado",,162.7,0.57,5.26,28.59,1.52,18.05,25.65,0.057,20.9,0.1,0.95,95,0.009,0.19,2.28,,,0.057,,,0.028,,,,0.407,10.54,,0.874,1.229,2.968,0.027,,
6400601-15,"Mandioca, sopa",,31.4,0.95,0.12,7.01,0.71,8.55,6.35,0.068,15.76,0.28,310.43,88.31,0.039,0.12,1.34,,33.48,0.03,0.026,0.505,0.04,0.015,9.28,,0.204,2.1,,0.039,0.027,0.032,0.002,3.27,2.52
6400601-99,Mandioca,,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400609-2,"Aipim, cozido(a)",,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400609-4,"Aipim, assado(a)",,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400609-5,"Aipim, frito(a)",,162.7,0.57,5.26,28.59,1.52,18.05,25.65,0.057,20.9,0.1,0.95,95,0.009,0.19,2.28,,,0.057,,,0.028,,,,0.407,10.54,,0.874,1.229,2.968,0.027,,
6400609-6,"Aipim, empanado(a)/a milanesa",,162.7,0.57,5.26,28.59,1.52,18.05,25.65,0.057,20.9,0.1,0.95,95,0.009,0.19,2.28,,,0.057,,,0.028,,,,0.407,10.54,,0.874,1.229,2.968,0.027,,
6400609-7,"Aipim, refogado(a)",,162.7,0.57,5.26,28.59,1.52,18.05,25.65,0.057,20.9,0.1,0.95,95,0.009,0.19,2.28,,,0.057,,,0.028,,,,0.407,10.54,,0.874,1.229,2.968,0.027,,
6400609-8,"Aipim, molho vermelho",,104.8,0.74,0.28,25.16,1.58,17.8,24.8,0.07,22.8,0.28,105.6,146.2,0.032,0.2,0.04,,3.48,0.052,0.014,0.196,0.044,,2.2,,0.284,10.28,,0.086,0.086,0.094,,0.85,
6400609-11,"Aipim, com manteiga/oleo",,154.6,0.61,4.34,28.6,1.52,19.25,25.75,0.057,22.1,0.1,29.75,96.2,0.009,0.19,0.05,33.55,34.21,0.058,0.002,0.002,0.028,0.009,0.15,0.07,0.116,10.54,10.75,2.664,1.146,0.247,0.164,0.01,
6400609-13,"Aipim, ensopado",,162.7,0.57,5.26,28.59,1.52,18.05,25.65,0.057,20.9,0.1,0.95,95,0.009,0.19,2.28,,,0.057,,,0.028,,,,0.407,10.54,,0.874,1.229,2.968,0.027,,
6400609-15,"Aipim, sopa",,31.4,0.95,0.12,7.01,0.71,8.55,6.35,0.068,15.76,0.28,310.43,88.31,0.039,0.12,1.34,,33.48,0.03,0.026,0.505,0.04,0.015,9.28,,0.204,2.1,,0.039,0.027,0.032,0.002,3.27,2.52
6400609-99,Aipim,,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400610-1,"Macaxeira, cru(a)",,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400610-2,"Macaxeira, cozido(a)",,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400610-4,"Macaxeira, assado(a)",,125,0.6,0.3,30.1,1.6,19,27,0.06,22,0.1,1,100,0.01,0.2,,,,0.06,,,0.03,,,,,11.1,,0.1,0.1,0.1,,,
6400610-5,"Macaxeira, frito(a)",,162.7,0.57,5.26,28.59,1.52,18.05,25.65,0.057,20.9,0.1,0.95,95,0.009,0.19,2.28,,,0.057,,,0.028,,,,0.407,10.54,,0.874,1.229,2.968,0.027,,
6400701-2,"Cara, cozido(a)",,100,1.71,0.12,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,0.6,,1043.46,0.07,0.06,0.56,0.19,,22,,0.77,9.1,,0.03,0.01,0.05,,6.47,
6400701-5,"Cara, frito(a)",,115.7,1.71,1.9,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,1.42,,1043.46,0.07,0.06,0.56,0.19,,22,,0.93,9.1,,0.28,0.42,1.08,,6.47,
6400701-7,"Cara, refogado(a)",,115.7,1.71,1.9,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,1.42,,1043.46,0.07,0.06,0.56,0.19,,22,,0.93,9.1,,0.28,0.42,1.08,,6.47,
6400701-13,"Cara, ensopado",,115.7,1.71,1.9,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,1.42,,1043.46,0.07,0.06,0.56,0.19,,22,,0.93,9.1,,0.28,0.42,1.08,,6.47,
6400701-14,"Cara, mingau",,100,1.71,0.12,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,0.6,,1043.46,0.07,0.06,0.56,0.19,,22,,0.77,9.1,,0.03,0.01,0.05,,6.47,
6400701-15,"Cara, sopa",,31.4,0.95,0.12,7.01,0.71,8.55,6.35,0.068,15.76,0.28,310.43,88.31,0.039,0.12,1.34,,33.48,0.03,0.026,0.505,0.04,0.015,9.28,,0.204,2.1,,0.039,0.027,0.032,0.002,3.27,2.52
6400713-2,"Inhame Caraquento (Cara), cozido(a)",,100,1.71,0.12,23.4,1.8,35,21,0.67,44,0.54,8,377,0.18,0.3,0.6,,1043.46,0.07,0.06,0.56,0.19,,22,,0.77,9.1,,0.03,0.01,0.05,,6.47,
6400802-1,"Batata (Não Especificada), cru(a)",,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400802-2,"Batata (Não Especificada), cozido(a)",,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400802-3,"Batata (Não Especificada), grelhado(a)/brasa/churrasco",,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400802-4,"Batata (Não Especificada), assado(a)",,86,1.71,0.1,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,0.3,,0.17,0.098,0.019,1.312,0.269,,9,,0.06,7.4,,0.026,0.002,0.043,,0.86,
6400802-5,"Batata (Não Especificada), frito(a)",,263.5,2.87,13.64,33.6,3.44,13.43,33.58,0.235,67.17,0.53,8.4,550.76,0.28,0.46,6.68,,0.28,0.165,0.032,2.203,0.452,,15.11,,1.203,12.43,,2.152,3.073,7.851,0.072,1.44,
6400802-7,"Batata (Não Especificada), refogado(a)",,111.7,1.71,3.01,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,1.63,,0.17,0.098,0.019,1.312,0.269,,9,,0.298,7.4,,0.482,0.665,1.724,0.016,0.86,
6400802-8,"Batata (Não Especificada), molho vermelho",,73.6,1.63,0.12,17.08,1.94,9,19.2,0.133,37.2,0.45,108.8,328.6,0.157,0.26,0.28,,3.62,0.083,0.028,1.245,0.235,,9.4,,0.332,7.32,,0.026,0.007,0.049,,1.54,
6400802-9,"Batata (Não Especificada), molho branco",,101.4,2.15,2.57,17.86,1.68,29.28,18.31,0.122,51.69,0.32,24.92,292.45,0.138,0.3,1.41,20.7,21.21,0.097,0.058,1.145,0.223,0.09,10.8,0.227,0.113,5.92,6.83,1.553,0.639,0.147,0.097,1.72,
6400802-12,"Batata (Não Especificada), ao vinagrete",,111.7,1.71,3.01,20.01,2.05,8,20,0.14,40,0.31,5,328,0.167,0.27,1.63,,0.17,0.098,0.019,1.312,0.269,,9,,0.298,7.4,,0.482,0.665,1.724,0.016,0.86,
